Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2016,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,371,61.90
2016,All Causes,All causes,Alabama,52466,920.40
2015,All Causes,All causes,Alabama,51909,924.50
2014,All Causes,All causes,Alabama,50215,909.10
2013,All Causes,All causes,Alabama,50189,925.20
2012,All Causes,All causes,Alabama,49301,926.70
2011,All Causes,All causes,Alabama,48681,933.60
2010,All Causes,All causes,Alabama,48038,939.70
2009,All Causes,All causes,Alabama,47470,940.20
2008,All Causes,All causes,Alabama,47707,959.70
2007,All Causes,All causes,Alabama,46696,957.20
2006,All Causes,All causes,Alabama,46977,979.50
2005,All Causes,All causes,Alabama,47090,1001.30
2004,All Causes,All causes,Alabama,46121,998.30
2003,All Causes,All causes,Alabama,46716,1020.20
2002,All Causes,All causes,Alabama,46069,1013.40
2001,All Causes,All causes,Alabama,45316,1002.10
2000,All Causes,All causes,Alabama,45062,1004.80
1999,All Causes,All causes,Alabama,44806,1009.30
2016,All Causes,All causes,Alaska,4494,745.60
2015,All Causes,All causes,Alaska,4316,747.40
2014,All Causes,All causes,Alaska,4128,736.80
2013,All Causes,All causes,Alaska,3997,724.40
2012,All Causes,All causes,Alaska,3912,731.40
2011,All Causes,All causes,Alaska,3849,747.80
2010,All Causes,All causes,Alaska,3728,771.50
2009,All Causes,All causes,Alaska,3618,763.80
2008,All Causes,All causes,Alaska,3494,761.30
2007,All Causes,All causes,Alaska,3463,780.60
2005,All Causes,All causes,Alaska,3168,762.30
2004,All Causes,All causes,Alaska,3051,756.70
2003,All Causes,All causes,Alaska,3180,843.50
2002,All Causes,All causes,Alaska,3030,802.40
2001,All Causes,All causes,Alaska,2974,831.30
2000,All Causes,All causes,Alaska,2914,869.10
1999,All Causes,All causes,Alaska,2708,838.90
2016,All Causes,All causes,Arizona,56645,675.80
2015,All Causes,All causes,Arizona,54299,671.80
2014,All Causes,All causes,Arizona,51538,661.70
2013,All Causes,All causes,Arizona,50534,674.20
2012,All Causes,All causes,Arizona,49549,682.90
2011,All Causes,All causes,Arizona,48381,688.90
2010,All Causes,All causes,Arizona,46762,693.10
2009,All Causes,All causes,Arizona,45816,693.80
2008,All Causes,All causes,Arizona,45823,714.50
2007,All Causes,All causes,Arizona,45554,731.00
2006,All Causes,All causes,Arizona,46365,767.10
2005,All Causes,All causes,Arizona,45827,786.70
2004,All Causes,All causes,Arizona,43198,771.10
2003,All Causes,All causes,Arizona,43392,798.40
2002,All Causes,All causes,Arizona,42816,811.20
2001,All Causes,All causes,Arizona,41058,795.90
2000,All Causes,All causes,Arizona,40500,810.40
1999,All Causes,All causes,Arizona,40050,818.40
2016,All Causes,All causes,Arkansas,31756,893.20
2015,All Causes,All causes,Arkansas,31617,901.80
2014,All Causes,All causes,Arkansas,30467,883.70
2013,All Causes,All causes,Arkansas,30437,893.80
2012,All Causes,All causes,Arkansas,30117,897.50
2011,All Causes,All causes,Arkansas,29653,895.30
2010,All Causes,All causes,Arkansas,28916,892.70
2009,All Causes,All causes,Arkansas,28673,896.40
2008,All Causes,All causes,Arkansas,29322,927.30
2007,All Causes,All causes,Arkansas,28191,906.20
2006,All Causes,All causes,Arkansas,27901,909.50
2005,All Causes,All causes,Arkansas,28055,931.50
2004,All Causes,All causes,Arkansas,27528,927.40
2003,All Causes,All causes,Arkansas,27918,948.20
2002,All Causes,All causes,Arkansas,28513,975.20
2001,All Causes,All causes,Arkansas,27759,955.40
2000,All Causes,All causes,Arkansas,28217,977.10
1999,All Causes,All causes,Arkansas,27925,975.30
2016,All Causes,All causes,California,262240,616.90
2015,All Causes,All causes,California,259206,621.60
2014,All Causes,All causes,California,245929,605.70
2013,All Causes,All causes,California,248359,630.10
2012,All Causes,All causes,California,242554,630.40
2011,All Causes,All causes,California,239942,641.30
2010,All Causes,All causes,California,234012,646.70
2009,All Causes,All causes,California,232736,655.50
2008,All Causes,All causes,California,234766,677.90
2007,All Causes,All causes,California,233720,691.70
2006,All Causes,All causes,California,237126,718.20
2005,All Causes,All causes,California,237037,730.70
2004,All Causes,All causes,California,232525,734.30
2003,All Causes,All causes,California,239371,768.40
2002,All Causes,All causes,California,234565,770.00
2001,All Causes,All causes,California,234044,783.20
2000,All Causes,All causes,California,229551,787.90
1999,All Causes,All causes,California,229380,802.30
2016,All Causes,All causes,Colorado,37530,669.50
2015,All Causes,All causes,Colorado,36349,665.00
2014,All Causes,All causes,Colorado,35237,664.40
2013,All Causes,All causes,Colorado,33712,655.40
2012,All Causes,All causes,Colorado,33133,665.60
2011,All Causes,All causes,Colorado,32563,677.80
2010,All Causes,All causes,Colorado,31465,682.70
2009,All Causes,All causes,Colorado,31173,689.70
2008,All Causes,All causes,Colorado,31274,715.80
2007,All Causes,All causes,Colorado,29993,708.00
2006,All Causes,All causes,Colorado,29521,720.90
2005,All Causes,All causes,Colorado,29627,752.10
2004,All Causes,All causes,Colorado,28309,738.50
2003,All Causes,All causes,Colorado,29506,792.00
2002,All Causes,All causes,Colorado,29210,804.40
2001,All Causes,All causes,Colorado,28294,796.10
2000,All Causes,All causes,Colorado,27288,792.10
1999,All Causes,All causes,Colorado,27114,801.80
2016,All Causes,All causes,Connecticut,30543,654.00
2015,All Causes,All causes,Connecticut,30535,656.10
2014,All Causes,All causes,Connecticut,29860,646.50
2013,All Causes,All causes,Connecticut,29632,646.30
2012,All Causes,All causes,Connecticut,29316,648.20
2011,All Causes,All causes,Connecticut,29526,660.60
2010,All Causes,All causes,Connecticut,28692,652.90
2009,All Causes,All causes,Connecticut,28585,659.30
2008,All Causes,All causes,Connecticut,28794,671.90
2007,All Causes,All causes,Connecticut,28651,680.50
2006,All Causes,All causes,Connecticut,29260,704.60
2005,All Causes,All causes,Connecticut,29467,717.70
2004,All Causes,All causes,Connecticut,29314,725.10
2003,All Causes,All causes,Connecticut,29627,739.70
2002,All Causes,All causes,Connecticut,30122,766.10
2001,All Causes,All causes,Connecticut,29827,772.10
2000,All Causes,All causes,Connecticut,30129,793.00
1999,All Causes,All causes,Connecticut,29446,783.20
2016,All Causes,All causes,Delaware,8874,746.20
2015,All Causes,All causes,Delaware,8582,741.50
2014,All Causes,All causes,Delaware,8260,734.00
2013,All Causes,All causes,Delaware,7967,726.80
2012,All Causes,All causes,Delaware,7875,745.40
2011,All Causes,All causes,Delaware,7845,764.20
2010,All Causes,All causes,Delaware,7706,769.90
2009,All Causes,All causes,Delaware,7534,768.00
2008,All Causes,All causes,Delaware,7622,793.50
2007,All Causes,All causes,Delaware,7327,786.10
2006,All Causes,All causes,Delaware,7204,795.70
2005,All Causes,All causes,Delaware,7472,851.40
2004,All Causes,All causes,Delaware,7143,838.20
2003,All Causes,All causes,Delaware,7070,852.90
2002,All Causes,All causes,Delaware,6861,849.30
2001,All Causes,All causes,Delaware,7112,903.10
2000,All Causes,All causes,Delaware,6875,897.10
1999,All Causes,All causes,Delaware,6666,881.60
2016,All Causes,All causes,District of Columbia,5037,766.00
2015,All Causes,All causes,District of Columbia,4871,748.60
2014,All Causes,All causes,District of Columbia,4723,743.80
2013,All Causes,All causes,District of Columbia,4719,752.00
2012,All Causes,All causes,District of Columbia,4650,757.20
2011,All Causes,All causes,District of Columbia,4589,755.90
2010,All Causes,All causes,District of Columbia,4672,792.40
2009,All Causes,All causes,District of Columbia,4834,833.30
2008,All Causes,All causes,District of Columbia,5140,897.60
2007,All Causes,All causes,District of Columbia,5188,911.20
2006,All Causes,All causes,District of Columbia,5344,951.70
2005,All Causes,All causes,District of Columbia,5483,970.60
2004,All Causes,All causes,District of Columbia,5454,972.10
2003,All Causes,All causes,District of Columbia,5573,993.00
2002,All Causes,All causes,District of Columbia,5851,1034.10
2001,All Causes,All causes,District of Columbia,5951,1049.90
2000,All Causes,All causes,District of Columbia,6001,1061.20
1999,All Causes,All causes,District of Columbia,6076,1087.30
2016,All Causes,All causes,Florida,197313,666.60
2015,All Causes,All causes,Florida,191737,662.90
2014,All Causes,All causes,Florida,185956,662.00
2013,All Causes,All causes,Florida,181112,663.40
2012,All Causes,All causes,Florida,177291,669.90
2011,All Causes,All causes,Florida,173976,677.10
2010,All Causes,All causes,Florida,173791,701.10
2009,All Causes,All causes,Florida,169924,700.10
2008,All Causes,All causes,Florida,170703,718.10
2007,All Causes,All causes,Florida,168096,723.30
2006,All Causes,All causes,Florida,170066,745.60
2005,All Causes,All causes,Florida,170791,761.90
2004,All Causes,All causes,Florida,169008,771.60
2003,All Causes,All causes,Florida,168657,786.70
2002,All Causes,All causes,Florida,167814,796.20
2001,All Causes,All causes,Florida,167269,806.10
2000,All Causes,All causes,Florida,164395,807.80
1999,All Causes,All causes,Florida,163224,812.80
2016,All Causes,All causes,Georgia,81428,800.40
2015,All Causes,All causes,Georgia,79942,808.10
2014,All Causes,All causes,Georgia,76887,801.90
2013,All Causes,All causes,Georgia,75088,806.20
2012,All Causes,All causes,Georgia,72847,808.60
2011,All Causes,All causes,Georgia,71248,815.70
2010,All Causes,All causes,Georgia,71263,845.40
2009,All Causes,All causes,Georgia,69712,842.30
2008,All Causes,All causes,Georgia,69640,864.10
2007,All Causes,All causes,Georgia,68331,872.00
2006,All Causes,All causes,Georgia,67808,890.20
2005,All Causes,All causes,Georgia,66736,910.50
2004,All Causes,All causes,Georgia,65818,926.40
2003,All Causes,All causes,Georgia,66478,956.80
2002,All Causes,All causes,Georgia,65449,961.60
2001,All Causes,All causes,Georgia,64485,966.40
2000,All Causes,All causes,Georgia,63870,981.00
1999,All Causes,All causes,Georgia,62028,964.90
2016,All Causes,All causes,Hawaii,10913,572.00
2015,All Causes,All causes,Hawaii,11053,588.20
2014,All Causes,All causes,Hawaii,10767,588.70
2013,All Causes,All causes,Hawaii,10505,590.80
2012,All Causes,All causes,Hawaii,10274,586.50
2011,All Causes,All causes,Hawaii,9923,584.90
2010,All Causes,All causes,Hawaii,9617,589.60
2009,All Causes,All causes,Hawaii,9914,621.90
2008,All Causes,All causes,Hawaii,9501,613.60
2007,All Causes,All causes,Hawaii,9495,631.00
2006,All Causes,All causes,Hawaii,9432,643.40
2005,All Causes,All causes,Hawaii,9136,638.30
2004,All Causes,All causes,Hawaii,9030,652.90
2003,All Causes,All causes,Hawaii,8978,667.10
2002,All Causes,All causes,Hawaii,8801,673.40
2001,All Causes,All causes,Hawaii,8394,660.40
2000,All Causes,All causes,Hawaii,8290,675.90
1999,All Causes,All causes,Hawaii,8270,688.80
2016,All Causes,All causes,Idaho,13366,725.00
2015,All Causes,All causes,Idaho,13026,727.80
2014,All Causes,All causes,Idaho,12613,723.80
2013,All Causes,All causes,Idaho,12434,730.60
2012,All Causes,All causes,Idaho,11998,726.60
2011,All Causes,All causes,Idaho,12027,745.00
2010,All Causes,All causes,Idaho,11429,731.60
2009,All Causes,All causes,Idaho,11098,725.10
2008,All Causes,All causes,Idaho,10962,736.80
2007,All Causes,All causes,Idaho,10822,747.00
2006,All Causes,All causes,Idaho,10613,756.00
2005,All Causes,All causes,Idaho,10556,781.20
2004,All Causes,All causes,Idaho,10028,766.20
2003,All Causes,All causes,Idaho,10380,812.80
2002,All Causes,All causes,Idaho,9923,798.80
2001,All Causes,All causes,Idaho,9753,803.50
2000,All Causes,All causes,Idaho,9563,809.40
1999,All Causes,All causes,Idaho,9579,825.20
2016,All Causes,All causes,Illinois,107020,724.30
2015,All Causes,All causes,Illinois,106872,728.30
2014,All Causes,All causes,Illinois,105293,726.00
2013,All Causes,All causes,Illinois,103401,724.00
2012,All Causes,All causes,Illinois,102433,728.70
2011,All Causes,All causes,Illinois,101906,737.40
2010,All Causes,All causes,Illinois,99931,736.90
2009,All Causes,All causes,Illinois,100056,746.90
2008,All Causes,All causes,Illinois,103471,782.00
2007,All Causes,All causes,Illinois,100503,770.30
2006,All Causes,All causes,Illinois,102171,794.40
2005,All Causes,All causes,Illinois,103974,817.50
2004,All Causes,All causes,Illinois,102670,816.80
2003,All Causes,All causes,Illinois,105325,846.60
2002,All Causes,All causes,Illinois,106667,866.70
2001,All Causes,All causes,Illinois,105430,863.50
2000,All Causes,All causes,Illinois,106634,883.00
1999,All Causes,All causes,Illinois,108436,905.10
2016,All Causes,All causes,Indiana,63473,835.00
2015,All Causes,All causes,Indiana,62713,833.90
2014,All Causes,All causes,Indiana,60940,822.30
2013,All Causes,All causes,Indiana,60716,832.20
2012,All Causes,All causes,Indiana,59332,827.50
2011,All Causes,All causes,Indiana,58202,825.10
2010,All Causes,All causes,Indiana,56743,820.60
2009,All Causes,All causes,Indiana,55973,820.60
2008,All Causes,All causes,Indiana,56752,843.80
2007,All Causes,All causes,Indiana,54000,817.10
2006,All Causes,All causes,Indiana,55622,856.80
2005,All Causes,All causes,Indiana,55675,874.30
2004,All Causes,All causes,Indiana,54211,864.10
2003,All Causes,All causes,Indiana,55968,902.20
2002,All Causes,All causes,Indiana,55396,906.10
2001,All Causes,All causes,Indiana,55198,912.70
2000,All Causes,All causes,Indiana,55469,929.60
1999,All Causes,All causes,Indiana,55303,934.70
2016,All Causes,All causes,Iowa,29538,721.10
2015,All Causes,All causes,Iowa,29600,724.60
2014,All Causes,All causes,Iowa,29190,722.90
2013,All Causes,All causes,Iowa,28948,723.70
2012,All Causes,All causes,Iowa,28389,718.30
2011,All Causes,All causes,Iowa,28184,722.70
2010,All Causes,All causes,Iowa,27745,721.70
2009,All Causes,All causes,Iowa,27544,723.00
2008,All Causes,All causes,Iowa,28541,752.60
2007,All Causes,All causes,Iowa,27221,724.20
2006,All Causes,All causes,Iowa,27362,736.10
2005,All Causes,All causes,Iowa,27811,757.50
2004,All Causes,All causes,Iowa,26897,738.30
2003,All Causes,All causes,Iowa,28062,776.20
2002,All Causes,All causes,Iowa,27978,779.90
2001,All Causes,All causes,Iowa,27791,780.10
2000,All Causes,All causes,Iowa,28060,794.70
1999,All Causes,All causes,Iowa,28411,806.40
2016,All Causes,All causes,Kansas,26245,756.80
2015,All Causes,All causes,Kansas,26664,774.10
2014,All Causes,All causes,Kansas,25793,759.30
2013,All Causes,All causes,Kansas,25414,757.70
2012,All Causes,All causes,Kansas,25145,761.00
2011,All Causes,All causes,Kansas,25116,767.20
2010,All Causes,All causes,Kansas,24502,762.20
2009,All Causes,All causes,Kansas,24024,757.80
2008,All Causes,All causes,Kansas,24975,794.30
2007,All Causes,All causes,Kansas,24491,787.80
2006,All Causes,All causes,Kansas,24553,802.20
2005,All Causes,All causes,Kansas,24682,816.80
2004,All Causes,All causes,Kansas,23818,798.00
2003,All Causes,All causes,Kansas,24593,829.50
2002,All Causes,All causes,Kansas,25021,851.30
2001,All Causes,All causes,Kansas,24647,844.40
2000,All Causes,All causes,Kansas,24717,850.50
1999,All Causes,All causes,Kansas,24472,848.10
2016,All Causes,All causes,Kentucky,47827,938.40
2015,All Causes,All causes,Kentucky,46564,924.70
2014,All Causes,All causes,Kentucky,44838,906.30
2013,All Causes,All causes,Kentucky,43759,899.90
2012,All Causes,All causes,Kentucky,43664,916.30
2011,All Causes,All causes,Kentucky,42626,910.30
2010,All Causes,All causes,Kentucky,41983,915.00
2009,All Causes,All causes,Kentucky,41380,912.50
2008,All Causes,All causes,Kentucky,41329,926.70
2007,All Causes,All causes,Kentucky,40090,915.30
2006,All Causes,All causes,Kentucky,40102,932.30
2005,All Causes,All causes,Kentucky,40223,954.70
2004,All Causes,All causes,Kentucky,38646,935.30
2003,All Causes,All causes,Kentucky,40241,986.40
2002,All Causes,All causes,Kentucky,40697,1009.70
2001,All Causes,All causes,Kentucky,39861,997.10
2000,All Causes,All causes,Kentucky,39504,998.60
1999,All Causes,All causes,Kentucky,39321,1004.10
2016,All Causes,All causes,Louisiana,44306,870.50
2015,All Causes,All causes,Louisiana,43716,874.20
2014,All Causes,All causes,Louisiana,43869,894.20
2013,All Causes,All causes,Louisiana,43270,897.70
2012,All Causes,All causes,Louisiana,42320,898.60
2011,All Causes,All causes,Louisiana,40890,886.60
2010,All Causes,All causes,Louisiana,40667,903.80
2009,All Causes,All causes,Louisiana,40282,907.80
2008,All Causes,All causes,Louisiana,41220,946.00
2007,All Causes,All causes,Louisiana,39966,937.50
2006,All Causes,All causes,Louisiana,40045,960.50
2005,All Causes,All causes,Louisiana,44355,1023.70
2004,All Causes,All causes,Louisiana,42215,989.40
2003,All Causes,All causes,Louisiana,42719,1013.70
2002,All Causes,All causes,Louisiana,41984,1008.50
2001,All Causes,All causes,Louisiana,41757,1013.10
2000,All Causes,All causes,Louisiana,41138,1006.30
1999,All Causes,All causes,Louisiana,41238,1021.60
2016,All Causes,All causes,Maine,14182,759.00
2015,All Causes,All causes,Maine,14479,783.50
2014,All Causes,All causes,Maine,13510,739.00
2013,All Causes,All causes,Maine,13547,754.20
2012,All Causes,All causes,Maine,12870,730.40
2011,All Causes,All causes,Maine,13001,752.80
2010,All Causes,All causes,Maine,12750,749.60
2009,All Causes,All causes,Maine,12594,752.60
2008,All Causes,All causes,Maine,12541,759.40
2007,All Causes,All causes,Maine,12493,771.60
2006,All Causes,All causes,Maine,12294,775.10
2005,All Causes,All causes,Maine,12868,828.20
2004,All Causes,All causes,Maine,12443,813.00
2003,All Causes,All causes,Maine,12540,829.80
2002,All Causes,All causes,Maine,12694,853.70
2001,All Causes,All causes,Maine,12421,848.70
2000,All Causes,All causes,Maine,12354,859.40
1999,All Causes,All causes,Maine,12261,865.90
2016,All Causes,All causes,Maryland,48824,717.60
2015,All Causes,All causes,Maryland,47247,705.70
2014,All Causes,All causes,Maryland,45867,699.50
2013,All Causes,All causes,Maryland,45689,710.40
2012,All Causes,All causes,Maryland,44477,709.10
2011,All Causes,All causes,Maryland,43745,715.80
2010,All Causes,All causes,Maryland,43325,728.60
2009,All Causes,All causes,Maryland,43843,750.20
2008,All Causes,All causes,Maryland,43892,769.60
2007,All Causes,All causes,Maryland,43757,784.00
2006,All Causes,All causes,Maryland,43582,795.90
2005,All Causes,All causes,Maryland,43892,818.10
2004,All Causes,All causes,Maryland,43232,823.70
2003,All Causes,All causes,Maryland,44499,864.50
2002,All Causes,All causes,Maryland,43970,872.30
2001,All Causes,All causes,Maryland,43839,888.00
2000,All Causes,All causes,Maryland,43753,908.90
1999,All Causes,All causes,Maryland,43089,907.00
2016,All Causes,All causes,Massachusetts,56961,669.00
2015,All Causes,All causes,Massachusetts,57806,684.80
2014,All Causes,All causes,Massachusetts,55200,663.00
2013,All Causes,All causes,Massachusetts,54567,663.50
2012,All Causes,All causes,Massachusetts,53177,657.90
2011,All Causes,All causes,Massachusetts,53710,676.30
2010,All Causes,All causes,Massachusetts,52583,675.00
2009,All Causes,All causes,Massachusetts,52308,681.40
2008,All Causes,All causes,Massachusetts,53518,706.10
2007,All Causes,All causes,Massachusetts,52917,709.80
2006,All Causes,All causes,Massachusetts,53450,726.80
2005,All Causes,All causes,Massachusetts,53874,741.60
2004,All Causes,All causes,Massachusetts,54511,758.30
2003,All Causes,All causes,Massachusetts,56291,788.70
2002,All Causes,All causes,Massachusetts,56928,806.00
2001,All Causes,All causes,Massachusetts,56754,811.40
2000,All Causes,All causes,Massachusetts,56681,817.90
1999,All Causes,All causes,Massachusetts,55840,814.10
2016,All Causes,All causes,Michigan,96231,785.40
2015,All Causes,All causes,Michigan,95140,784.40
2014,All Causes,All causes,Michigan,93914,783.70
2013,All Causes,All causes,Michigan,92408,782.30
2012,All Causes,All causes,Michigan,89901,774.20
2011,All Causes,All causes,Michigan,89508,784.20
2010,All Causes,All causes,Michigan,88021,786.20
2009,All Causes,All causes,Michigan,86455,783.10
2008,All Causes,All causes,Michigan,88445,812.00
2007,All Causes,All causes,Michigan,86721,808.10
2006,All Causes,All causes,Michigan,86042,816.00
2005,All Causes,All causes,Michigan,86867,838.60
2004,All Causes,All causes,Michigan,85169,834.10
2003,All Causes,All causes,Michigan,86728,860.50
2002,All Causes,All causes,Michigan,87795,885.70
2001,All Causes,All causes,Michigan,86424,884.00
2000,All Causes,All causes,Michigan,86953,904.20
1999,All Causes,All causes,Michigan,87232,916.40
2016,All Causes,All causes,Minnesota,43078,648.10
2015,All Causes,All causes,Minnesota,42800,653.80
2014,All Causes,All causes,Minnesota,41445,647.00
2013,All Causes,All causes,Minnesota,40987,651.00
2012,All Causes,All causes,Minnesota,40016,649.50
2011,All Causes,All causes,Minnesota,39820,659.20
2010,All Causes,All causes,Minnesota,38972,661.50
2009,All Causes,All causes,Minnesota,37851,652.10
2008,All Causes,All causes,Minnesota,38499,674.00
2007,All Causes,All causes,Minnesota,37138,663.10
2006,All Causes,All causes,Minnesota,37028,675.60
2005,All Causes,All causes,Minnesota,37535,698.60
2004,All Causes,All causes,Minnesota,37034,699.70
2003,All Causes,All causes,Minnesota,37620,720.90
2002,All Causes,All causes,Minnesota,38510,751.30
2001,All Causes,All causes,Minnesota,37735,748.20
2000,All Causes,All causes,Minnesota,37690,760.70
1999,All Causes,All causes,Minnesota,38537,784.50
2016,All Causes,All causes,Mississippi,31741,948.90
2015,All Causes,All causes,Mississippi,31783,963.70
2014,All Causes,All causes,Mississippi,30557,937.60
2013,All Causes,All causes,Mississippi,30703,959.60
2012,All Causes,All causes,Mississippi,29544,942.90
2011,All Causes,All causes,Mississippi,29278,956.10
2010,All Causes,All causes,Mississippi,28965,962.00
2009,All Causes,All causes,Mississippi,28275,950.50
2008,All Causes,All causes,Mississippi,28984,982.80
2007,All Causes,All causes,Mississippi,28255,973.30
2006,All Causes,All causes,Mississippi,28564,999.10
2005,All Causes,All causes,Mississippi,29196,1028.70
2004,All Causes,All causes,Mississippi,27871,996.60
2003,All Causes,All causes,Mississippi,28489,1031.60
2002,All Causes,All causes,Mississippi,28853,1051.60
2001,All Causes,All causes,Mississippi,28259,1034.30
2000,All Causes,All causes,Mississippi,28654,1051.90
1999,All Causes,All causes,Mississippi,28185,1043.40
2016,All Causes,All causes,Missouri,59873,808.20
2015,All Causes,All causes,Missouri,59871,816.90
2014,All Causes,All causes,Missouri,58320,807.00
2013,All Causes,All causes,Missouri,57444,807.70
2012,All Causes,All causes,Missouri,56094,803.00
2011,All Causes,All causes,Missouri,55848,812.00
2010,All Causes,All causes,Missouri,55281,819.50
2009,All Causes,All causes,Missouri,54263,815.30
2008,All Causes,All causes,Missouri,56578,861.30
